iter	Passed	Remaining
181	524	2359
182	526	2350
183	528	2344
184	530	2338
185	533	2334
186	535	2328
187	540	2332
188	542	2328
189	544	2323
190	546	2316
191	548	2308
192	550	2302
193	553	2299
194	556	2295
195	558	2289
196	560	2285
197	563	2281
198	565	2275
199	569	2278
200	572	2274
201	574	2269
202	576	2261
203	577	2255
204	580	2249
205	584	2254
206	587	2249
207	590	2247
208	592	2241
209	594	2235
210	596	2231
211	600	2232
212	603	2228
213	605	2223
214	607	2217
215	609	2212
216	612	2209
217	614	2204
218	617	2200
219	619	2196
220	621	2190
221	623	2184
222	625	2178
223	629	2179
224	631	2174
225	633	2168
226	635	2162
227	637	2157
228	639	2151
229	641	2149
230	644	2145
231	647	2144
232	650	2140
233	652	2135
234	654	2129
235	656	2125
236	659	2123
237	661	2119
238	663	2113
239	665	2107
240	667	2101
241	669	2095
242	671	2090
243	673	2086
244	675	2081
245	677	2076
246	679	2070
247	680	2064
248	682	2058
249	684	2052
250	686	2048
251	689	2045
252	691	2041
253	693	2035
254	695	2031
255	696	2025
256	698	2020
257	703	2023
258	705	2018
259	707	2012
260	708	2007
261	710	2001
262	712	1996
263	715	1993
264	717	1989
265	719	1985
266	721	1981
267	723	1975
268	725	1970
269	726	1964
270	728	1959
271	732	1959
272	733	1954
273	735	1950
274	737	1944
275	739	1938
276	740	1933
277	742	1928
278	744	1924
279	747	1923
280	750	1919
281	752	1914
282	753	1909
283	755	1904
284	757	1900
285	760	1898
286	762	1895
287	765	1891
288	766	1886
289	768	1882
290	770	1877
291	772	1873
292	775	1870
293	777	1866
294	779	1862
295	781	1858
296	783	1854
297	785	1849
298	787	1845
299	789	1842
300	791	1838
301	793	1834
302	795	1830
303	797	1825
304	799	1821
305	801	1817
306	807	1821
307	809	1818
308	811	1814
309	813	1810
310	815	1806
311	817	1802
312	821	1803
313	824	1800
314	826	1797
315	830	1797
316	833	1794
317	837	1796
318	841	1797
319	844	1794
320	850	1799
321	852	1795
322	854	1791
323	857	1789
324	860	1786
325	863	1785
326	866	1782
327	872	1786
328	874	1783
329	881	1789
330	884	1787
331	886	1784
332	889	1780
333	891	1778
334	897	1782
335	900	1779
336	903	1777
337	911	1784
338	914	1783
339	917	1780
340	919	1777
341	926	1782
342	933	1788
343	949	1810
344	956	1815
345	959	1813
346	961	1810
347	964	1806
348	966	1802
349	969	1799
350	972	1798
351	975	1796
352	978	1793
353	980	1790
354	984	1789
355	988	1788
356	995	1792
357	997	1788
358	1001	1788
359	1004	1785
360	1006	1781
361	1008	1777
362	1010	1773
363	1013	1770
364	1016	1768
365	1019	1765
366	1021	1762
367	1024	1760
368	1030	1762
369	1036	1765
370	1039	1762
371	1041	1758
372	1047	1760
373	1051	1760
374	1065	1775
375	1071	1778
376	1075	1776
377	1078	1773
378	1080	1769
379	1082	1766
380	1085	1763
381	1088	1760
382	1091	1758
383	1094	1755
384	1096	1752
385	1099	1748
386	1101	1744
387	1105	1744
388	1108	1741
389	1110	1737
390	1119	1743
391	1123	1741
392	1125	1738
393	1130	1739
394	1132	1735
395	1136	1734
396	1139	1731
397	1143	1729
398	1145	1725
399	1148	1722
400	1152	1721
401	1158	1723
402	1161	1720
403	1168	1723
404	1170	1719
405	1172	1715
406	1174	1711
407	1176	1707
408	1179	1703
409	1183	1702
410	1185	1699
411	1188	1695
412	1190	1691
413	1192	1687
414	1195	1684
415	1198	1682
416	1200	1678
417	1203	1675
418	1205	1671
419	1207	1667
420	1211	1666
421	1214	1663
422	1216	1658
423	1218	1654
424	1220	1650
425	1222	1647
426	1226	1646
427	1229	1643
428	1231	1639
429	1233	1635
430	1236	1631
431	1238	1628
432	1242	1627
433	1244	1623
434	1247	1620
435	1251	1618
436	1258	1621
437	1260	1617
438	1262	1613
439	1265	1610
440	1267	1606
441	1270	1604
442	1273	1601
